Date,Open,High,Low,Volume,Close
10/31/2023, 405 , 409 , 392 ,51796870, 408 
10/30/2023, 411 , 418 , 405 ,38802810, 412 
10/27/2023, 411 , 412 , 400 ,41678440, 405 
10/26/2023, 419 , 423 , 399 ,54100130, 403 
10/25/2023, 434 , 437 , 416 ,39837920, 418 
10/24/2023, 431 , 437 , 427 ,40146340, 437 
10/23/2023, 412 , 432 , 409 ,47853050, 430 
10/20/2023, 419 , 425 , 411 ,47726610, 414 
10/19/2023, 428 , 433 , 419 ,50123310, 421 
10/18/2023, 426 , 432 , 418 ,62729430, 422 
10/17/2023, 440 , 448 , 425 ,81233270, 439 
10/16/2023, 451 , 462 , 449 ,37509920, 461 
10/13/2023, 470 , 471 , 453 ,47542600, 455 
10/12/2023, 468 , 476 , 463 ,48132500, 469 
10/11/2023, 462 , 469 , 461 ,37813690, 468 
10/10/2023, 453 , 463 , 451 ,36858210, 458 
10/9/2023, 448 , 456 , 444 ,40967470, 453 
10/6/2023, 442 , 458 , 440 ,43443600, 458 
10/5/2023, 441 , 449 , 439 ,39348310, 447 
10/4/2023, 437 , 441 , 433 ,36182090, 440 
10/3/2023, 448 , 451 , 432 ,47084950, 435 
10/2/2023, 440 , 452 , 439 ,43329820, 448 
9/29/2023, 438 , 441 , 433 ,39782990, 435 
9/28/2023, 425 , 434 , 421 ,42466280, 431 
9/27/2023, 423 , 429 , 416 ,44493520, 425 
9/26/2023, 420 , 428 , 417 ,40228210, 419 
9/25/2023, 416 , 425 , 412 ,41909100, 422 
9/22/2023, 416 , 421 , 412 ,47923630, 416 
9/21/2023, 416 , 421 , 410 ,45073600, 410 
9/20/2023, 436 , 439 , 422 ,36710770, 422 
9/19/2023, 438 , 440 , 430 ,37306420, 435 
9/18/2023, 427 , 442 , 420 ,50027080, 440 
9/15/2023, 453 , 456 , 438 ,50683050, 439 
9/14/2023, 460 , 460 , 451 ,37009720, 456 
9/13/2023, 446 , 459 , 445 ,39835540, 455 
9/12/2023, 447 , 457 , 445 ,34925630, 449 
9/11/2023, 461 , 462 , 443 ,47396560, 452 
9/8/2023, 459 , 466 , 453 ,47389990, 456 
