Date,Open,High,Low,Volume,Close
10/31/2023,$405 ,$409 ,$392 ,"$51,796,870 ",$408 
10/30/2023,$411 ,$418 ,$405 ,"$38,802,810 ",$412 
10/27/2023,$411 ,$412 ,$400 ,"$41,678,440 ",$405 
10/26/2023,$419 ,$423 ,$399 ,"$54,100,130 ",$403 
10/25/2023,$434 ,$437 ,$416 ,"$39,837,920 ",$418 
10/24/2023,$431 ,$437 ,$427 ,"$40,146,340 ",$437 
10/23/2023,$412 ,$432 ,$409 ,"$47,853,050 ",$430 
10/20/2023,$419 ,$425 ,$411 ,"$47,726,610 ",$414 
10/19/2023,$428 ,$433 ,$419 ,"$50,123,310 ",$421 
10/18/2023,$426 ,$432 ,$418 ,"$62,729,430 ",$422 
10/17/2023,$440 ,$448 ,$425 ,"$81,233,270 ",$439 
10/16/2023,$451 ,$462 ,$449 ,"$37,509,920 ",$461 
10/13/2023,$470 ,$471 ,$453 ,"$47,542,600 ",$455 
10/12/2023,$468 ,$476 ,$463 ,"$48,132,500 ",$469 
10/11/2023,$462 ,$469 ,$461 ,"$37,813,690 ",$468 
10/10/2023,$453 ,$463 ,$451 ,"$36,858,210 ",$458 
10/9/2023,$448 ,$456 ,$444 ,"$40,967,470 ",$453 
10/6/2023,$442 ,$458 ,$440 ,"$43,443,600 ",$458 
10/5/2023,$441 ,$449 ,$439 ,"$39,348,310 ",$447 
10/4/2023,$437 ,$441 ,$433 ,"$36,182,090 ",$440 
10/3/2023,$448 ,$451 ,$432 ,"$47,084,950 ",$435 
10/2/2023,$440 ,$452 ,$439 ,"$43,329,820 ",$448 
9/29/2023,$438 ,$441 ,$433 ,"$39,782,990 ",$435 
9/28/2023,$425 ,$434 ,$421 ,"$42,466,280 ",$431 
9/27/2023,$423 ,$429 ,$416 ,"$44,493,520 ",$425 
9/26/2023,$420 ,$428 ,$417 ,"$40,228,210 ",$419 
9/25/2023,$416 ,$425 ,$412 ,"$41,909,100 ",$422 
9/22/2023,$416 ,$421 ,$412 ,"$47,923,630 ",$416 
9/21/2023,$416 ,$421 ,$410 ,"$45,073,600 ",$410 
9/20/2023,$436 ,$439 ,$422 ,"$36,710,770 ",$422 
